headline,description,category,source,url
সাবেক মন্ত্রী আমির হোসেন আমু গ্রেপ্তার,আজ বুধবার বেলা দেড়টার দিকে পশ্চিম ধানমন্ডির একটি বাসা থেকে আমির হোসেন আমুকে গ্রেপ্তার করা হয়।,politics,prothomalo,https://www.prothomalo.com/politics/i5dyjxcevm
মার্চ-এপ্রিলে নির্বাচনের দাবিতে কর্মসূচি শুরুর চিন্তা বিএনপির,গত সোমবার রাতে বিএনপির স্থায়ী কমিটির সভায় এ বিষয়ে আলোচনা হয়। তবে কোনো সিদ্ধান্ত হয়নি।,politics,prothomalo,https://www.prothomalo.com/politics/x2gw2vsty1
নির্বাচিত সরকারই শ্রেষ্ঠ সরকার: মির্জা ফখরুল," বিএনপির নেতা-কর্মীদের ভবিষ্যতে সতর্ক থাকার আহ্বান জানিয়ে মির্জা ফখরুল বলেন, আপনারা সবাই সজাগ-সতর্ক থাকবেন। দলকে আরও দৃঢ় করেন। বিপদ শেষ হয়ে যায়নি।",politics,prothomalo,https://www.prothomalo.com/politics/jb95zrd9fw
‘ভূতের মুখে রামনাম’: হাছান মাহমুদের বক্তব্য নিয়ে মির্জা ফখরুল,"লন্ডনভিত্তিক টেলিভিশন ‘চ্যানেল এস’ হাছান মাহমুদের এক সাক্ষাৎকার প্রচার করেছে গত রোববার। তাতে তিনি বলেছেন, বিএনপিকে নির্বাচনে আনতে না পারা আওয়ামী লীগের রাজনৈতিক ভুল ছিল।",politics,prothomalo,https://www.prothomalo.com/politics/4guhdfnmkb
সংবিধান সংস্কার বিষয়ে মতামত দেওয়া যাবে ওয়েবসাইটে,দেশের বিদ্যমান সংবিধান পর্যালোচনা ও মূল্যায়ন করে সংবিধান সংস্কারের লক্ষ্যে প্রয়োজনীয় সুপারিশসহ প্রতিবেদন প্রস্তুত করতে গত ৬ অক্টোবর সংবিধান সংস্কার কমিশন গঠন করে সরকার।,politics,prothomalo,https://www.prothomalo.com/politics/yhbrke662x
"মাওলানা সাদ আসতে পারবেন না, টঙ্গীর ইজতেমা মাঠ নিয়ন্ত্রণে রাখার ঘোষণা আলেমদের","তাবলিগ জামাতের নেতৃত্ব নিয়ে ২০১৮ সাল থেকে এর অনুসারীদের মধ্যে চরম বিভক্তি দেখা দেয়। এক পক্ষে বাংলাদেশের মাওলানা জোবায়েরুল হক, অন্য পক্ষে মাওলানা সাদ পক্ষ।",politics,prothomalo,https://www.prothomalo.com/politics/el2x2co0e5
মৌলভীবাজারে জেলা বিএনপির পূর্ণাঙ্গ কমিটি ভেঙে আহ্বায়ক কমিটি ঘোষণা,৩২ সদস্যবিশিষ্ট কমিটির আহ্বায়ক করা হয়েছে জেলা বিএনপির সাবেক জ্যেষ্ঠ সহসভাপতি ও মৌলভীবাজার পৌরসভার সাবেক মেয়র ফয়জুল করিমকে। কমিটির অন্যরা সবাই সদস্য।,politics,prothomalo,https://www.prothomalo.com/bangladesh/district/0vd1gik315
কোনো ব্যক্তির কলমের খোঁচায় সংবিধান বদলাবে না: ড. কামাল হোসেন,‘৪ঠা নভেম্বর ১৯৭২ সংবিধান দিবস’ উপলক্ষে এক আলোচনা সভায় প্রধান অতিথির বক্তব্যে ড. কামাল হোসেন এই অভিমত জানিয়েছেন।,politics,prothomalo,https://www.prothomalo.com/politics/0v5yuruq79
রাষ্ট্রপতির অপসারণ দাবির প্রসঙ্গসহ তিন বিষয়ে আলোচনা,"গণ অধিকার পরিষদের পক্ষ থেকে বিএনপিকে বলা হয়েছে, সামনে যে জাতীয় সরকার হবে, সেখানে যুগপৎ আন্দোলনে অংশ নেওয়া সব দলকে নিয়ে ঐক্যবদ্ধভাবে কাজ করতে হবে।",politics,prothomalo,https://www.prothomalo.com/politics/favtcfgwvb
সংস্কার শেষে জাতীয় ঐকমত্যের ভিত্তিতে নির্বাচন: নাহিদ ইসলাম,জাতীয় ঐকমত্যের ভিত্তিতে নির্বাচনের ব্যবস্থা করা হবে।,politics,prothomalo,https://www.prothomalo.com/politics/kq5y2sekmy
