headline,description,category,source,url
তিন মাসের মধ্যে অক্টোবরে মূল্যস্ফীতি সর্বোচ্চ,দেশে খাদ্য মূল্যস্ফীতি বেড়ে দাঁড়িয়েছে ১২ দশমিক ৬৬ শতাংশ। সার্বিক মূল্যস্ফীতি বেড়ে ১০ দশমিক ৮৭ শতাংশে উঠেছে।,business,prothomalo,https://www.prothomalo.com/business/4bej75hq1s
অক্টোবরে রপ্তানি আয় বেড়েছে ১৯ শতাংশ,"জুলাই-আগস্ট মাসে উৎপাদন খাতে যে ধাক্কা লেগেছিল, তা কাটিয়ে দেশের পণ্য রপ্তানি বাড়তে শুরু করেছে। গত অক্টোবরে রপ্তানি আয় গত বছরের একই সময়ের তুলনায় প্রায় ১৯ শতাংশ বেড়েছে।",business,prothomalo,https://www.prothomalo.com/business/industry/42a86pm1jd
এসিআই ফুডসের চিফ বিজনেস অফিসার ফারিয়া ইয়াসমিন,"ফারিয়া ইয়াসমিন এর আগে নেসলে, ম্যারিকো, বাংলাদেশ এডিবল অয়েল লিমিটেড এবং রেকিট বেনকিজারের মতো বহুজাতিক কোম্পানিতে বিভিন্ন গুরুত্বপূর্ণ দায়িত্ব পালন করেছেন।",business,prothomalo,https://www.prothomalo.com/business/xk90iae0s1
উচ্চ সুদের ঋণ পরিশোধে প্রেফারেন্স শেয়ার ছাড়বে প্রিমিয়ার সিমেন্ট,কোম্পানিটি ৩২২টি প্রেফারেন্স শেয়ার ছেড়ে ১৬১ কোটি টাকা সংগ্রহ করবে। প্রতিটি শেয়ারের অভিহিত মূল্য হবে ৫০ লাখ টাকা। মেয়াদ হবে ৫ বছর। মেয়াদ শেষে পুরোপুরি অবসায়িত হবে এই শেয়ার।,business,prothomalo,https://www.prothomalo.com/business/market/ldp72x0uvd
সচিব নাজমা মোবারেকের এক ফোনেই আইডিআরএর ৪ সদস্যের পদত্যাগ,আর্থিক প্রতিষ্ঠান বিভাগ এর আগে আইডিআরএর দুই সাবেক চেয়ারম্যান এম মোশারফ হোসেন ও মোহাম্মদ জয়নুল বারীকেও মেয়াদ পার হওয়ার আগে পদত্যাগ করিয়েছিল।,business,prothomalo,https://www.prothomalo.com/business/insurance/c8or9n4dte
টিসিবির ট্রাক থেকে চাল নিলে রান্না হবে লাইলী বেগমের ঘরে,"যে চারটি বাসায় লাইলী বেগম কাজ করেন, সেখান থেকে প্রায়ই অল্প পরিমাণে সবজি দেওয়া হয় তাঁকে। এ ছাড়া মাঝেমধ্যে রান্না করা তরকারি ও মাছ-মাংসও দেন গৃহকর্ত্রীরা।",business,prothomalo,https://www.prothomalo.com/business/economics/rrchrkt9aw
"ট্রাম্পের জয়ে বিশ্ববাজারে বেড়েছে ডলারের দর, বিটকয়েনের দাম ইতিহাসের সর্বোচ্চ",দ্বিতীয় মেয়াদে ট্রাম্প কর হ্রাস ও আমদানি শুল্ক বৃদ্ধি করলে মূল্যস্ফীতি বাড়তে পারে। এতে নীতি সুদহার হ্রাসের গতি কমতে পারে।,business,prothomalo,https://www.prothomalo.com/business/world-business/9a2jii6yq8
জুলাই-সেপ্টেম্বর প্রান্তিকে মুনাফা বেড়েছে পদ্মা অয়েলের,নাম পরিবর্তন করবে পদ্মা অয়েল। কোম্পানিটি পদ্মা অয়েল কোম্পানি লিমিটেড নাম পরিবর্তন করে ‘পদ্মা অয়েল পিএলসি’ হবে।,business,prothomalo,https://www.prothomalo.com/business/market/stpigj2uxi
পেঁয়াজ আমাদানিতে শুল্ক-কর সম্পূর্ণ প্রত্যাহার,দেশের বাজারে দাম সহনীয় পর্যায়ে রাখতে নিত্যপ্রয়োজনীয় এই পণ্য আমদানিতে শুল্ক-কর সম্পূর্ণ প্রত্যাহার করা হয়েছে।,business,prothomalo,https://www.prothomalo.com/business/nn2bz0pvi3
৪৭ টাকা কেজি দরে চাল ও ৩৩ টাকায় ধান কিনবে সরকার,"আমন মৌসুমে সাড়ে ৩ লাখ টন ধান, সাড়ে ৫ লাখ টন সেদ্ধ চাল ও ১ লাখ টন আতপ চাল কেনার সিদ্ধান্ত নেওয়া হয়েছে।",business,prothomalo,https://www.prothomalo.com/business/ig4v88fb5i
