headline,description,category,source,url
Five-star Rabada reduces Bangladesh to 137-8 at lunch,"South Africa fast bowler Kagiso Rabada wreaked havoc on the Bangladesh batting line-up Thursday, reducing them to 48-8 before a mini-fightback to 137-8 at lunch on the third day of the second Test.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/wbifha60in
De Zorzi out for 177 as S Africa power to 413-5 against Bangladesh,Tony de Zorzi’s commanding innings ended on 177 Wednesday as South Africa powered to 413-5 at lunch against Bangladesh on day two of the second and final Test,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/d3ec0hod8d
"Decision on Shakib’s future, Najmul’s captaincy today","Is Najmul Hossain really giving up the captaincy of the national cricket team for all versions? Is the ongoing Chattogram Test against South Africa going to be his last match as captain? If so, who will be the new captain?",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/wtsydzidsf
"De Zorzi, Stubbs tons steer S Africa to 307/2 against Bangladesh",Both men made their maiden Test hundreds in a second-wicket partnership of 201 after the visitors won the toss and chose to take first use of a good batting pitch as they eye a series sweep.,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/tc6juuzv1m
De Zorzi steers S. Africa to 109-1 at lunch against Bangladesh,Captain Aiden Markram was the only wicket to fall after he went for a big shot off left-arm spinner Taijul Islam and holed out to Mominul Haque at mid-on for 33,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/x4sh96a6qw
"South Africa win toss, bat against Bangladesh","Bangladesh made three changes from the defeat in Mirpur, bringing in Zakir Hasan, Nahid Rana and wicketkeeper Mahidul Islam Ankon for his debut",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/jocw8tdljf
Taijul vows Bangladesh to bounce back against South Africa,"Bangladesh spinner Taijul Islam said Monday he was determined to level the series against South Africa in the second and final Test, after a crushing seven-wicket defeat in the opener.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/2qae784ki1
Rodri wins men’s Ballon d’Or as Real Madrid boycott,"The decision to award the prize for the world’s best player to the midfielder came as a surprise, with Real Madrid’s Liga and Champions League double winner Vinicius Junior widely seen as the favourite",Sports,prothomalo,https://en.prothomalo.com/sports/football/i1iw10uids
Manchester United sack manager Ten Hag,"Manchester United have sacked manager Erik ten Hag following the club's lacklustre start to the season, the fallen Premier League giants announced Monday.",Sports,prothomalo,https://en.prothomalo.com/sports/football/eobkxfeho4
Bangladesh thrash Bhutan 7-1 in 1st semi-final,"Defending champions Bangladesh thrashed Bhutan by 7-1 goals in the first semi-final of the SAFF Women’s Championship held at Dasharath Rangasala Stadium in Kathmandu, Nepal",Sports,prothomalo,https://en.prothomalo.com/sports/football/h6gr6z71im
Barca shred Madrid in La Liga Clasico,"Teenage winger Lamine Yamal and Raphinha completed the rout, while Madrid superstar Kylian Mbappe had two goals ruled out for offside",Sports,prothomalo,https://en.prothomalo.com/sports/football/s53slvh6k7
Tabith Awal new BFF president,Tabith Awal bagged 123 votes while his lone opponent Mizanur Rahman Chowdhury got five votes.,Sports,prothomalo,https://en.prothomalo.com/sports/football/l3pnzf6q7o
Najmul Hossain unwilling to continue as captain,"In the recent past, Najmul's captaincy has come under scrutiny from several quarters after a prolonged lean patch. ",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/t873svwm75
New Zealand lead by 301 after Santner’s 7-53 in India,"New Zealand, who lead the three-match series 1-0, were 198-5 at stumps in their second knock after skipper Tom Latham hit 86",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/hwbstq4zvu
New Zealand on top after Santner’s 7-53 in India,"New Zealand, who lead the three-match series 1-0, were 85-2 at tea in their second innings after Washington Sundar trapped Devon Conway lbw for 17 and Ravichandran Ashwin got Will Young for 23",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/9km6d221tx
South Africa captain Bavuma to miss second Bangladesh test,Bavuma missed this week’s seven wicket win over Bangladesh in the first test in Dhaka but had travelled with the team looking to continue his rehabilitation and take his place in the side for the second match,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/0ceal9doif
India 107-7 after Santner takes four wickets for New Zealand,Mitchell Santner led a New Zealand spin blitz on a turning Pune pitch to leave India in serious trouble on 107-7 at lunch on day two of the second Test on Friday.,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/zzoyszzq88
South Africa crush Bangladesh by seven wickets,South Africa won the first Test against Bangladesh by seven wickets before lunch on day four Thursday to take a 1-0 lead in the two-match series,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/9v4dl38ay7
South Africa need 106 to win against Bangladesh,"South Africa have been set a 106-run target, having scored 308 in their first innings on Tuesday, in reply to Bangladesh’s 106 all out on the first day",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/lfbhr772xy
"Mehidy, Jaker take Bangladesh into lead over South Africa",The hosts were 267-7 when the covers came on because of rain in Mirpur and early tea was taken with all-rounder Mehidy batting on 77 alongside Nayeem Hasan on 12,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/mjb4xubbbs
Bangladesh battle at 101-3 as South Africa threaten innings defeat,"South Africa were all out for 308 in their first innings of 308, which secured a 202-run lead for the visitors thanks to wicketkeeper Kyle Verreynne's century.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/9pdk54hyb5
"South Africa all out for 308, lead by 202 against Bangladesh","For Bangladesh, pace bowler Mehidy Hasan Miraz took three of the four wickets to fall on Tuesday and spinner Taijul Islam finished with 5-122",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/uid7137mtz
We’ve to do really well to win the Test: Taijul,"Taijul was the one who gave Bangladesh a glimmer of hope to turn the table after an abysmal batting show which saw the Tigers bowled out for 106, their lowest in the first innings of a Test match on Day 1 on home soil",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/7zt2liw3ig
Rabada fastest to 300th Test wicket on a 16-wicket day,"The visitors took the lead, reaching 140-6 in 41 overs in reply at stumps at Mirpur, with Wiaan Mulder and Kyle Verreynne not out for 17 and 18 respectively",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/1k14yxbck0
Bangladesh seek winning start against South Africa,Tigers’ confidence to make a winning start to the South Africa series stemmed from the lack of experience of the visiting players on Bangladeshi soil,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/olqr83ze2w
"Young, Ravindra guide New Zealand to first win in India for 36 years","Chasing a tricky 107 on a rain-delayed day, New Zealand lost captain Tom Latham without scoring and Devon Conway for 17.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/ztkoh98w6d
Rampant Messi hits another hat-trick as Miami break MLS points record,"On-fire Lionel Messi scored his second hat-trick of the week and Luis Suarez scored twice as Inter Miami beat the New England Revolution 6-2 to smash MLS's regular season points record. ",Sports,prothomalo,https://en.prothomalo.com/sports/football/yb2bduier9
India fight back after Ravindra ton cements New Zealand lead,The hosts were 231-3 at stumps and still trailed the Black Caps by 125 runs after Glenn Phillips got Virat Kohli caught behind for 70 on the last ball of the day in Bengaluru,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/rcrflpsclk
Hasan Murad replaces Shakib in 1st Test Squad against SA,"Shakib Al Hasan’s aspiration to play farewell Test in front of home crowd was left unfulfilled as the Bangladesh Cricket Board (BCB) called up uncapped left-arm spinner Hasan Murad to replace him in the Bangladesh squad for the first Test against South Africa, beginning on 21 October in Dhaka",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/nmngq8e4ws
"New Zealand 402 all out, lead by 356 runs in India Test",Rachin Ravindra hit 134 as New Zealand were all out for 402 and a lead of 356 against India on day three of the opening Test on Friday.,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/esx3hjrt4f
Pakistan crush England in second Test to set up series decider,Spinner Noman Ali took eight wickets as Pakistan crushed England by 152 runs in the second Test to level the series 1-1 on Friday in Multan. Noman grabbed 8-46 and Sajid Khan took 2-93 as the pair wrapped up England's second innings for 144 after the visitors were set a daunting target of 297.,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/8fg7dswd3r
Shakib Al Hasan not returning home right now,Shakib Al Hasan is not coming to Bangladesh now. That means he would not be in the Bangladesh squad in the first Test against South Africa in Mirpur,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/moitu5flve
